Title1,Title2,Description,EAN,Brand,Name,Year,Display_Type,Swiss_Made,Water_Resistance,Dial_Color,Hand_Colors,Case_Code,Diameter,Case_Thickness,Case_Material,Case_Shape,Case_Color,Back_Case_Material,Back_Case,Material_Crystal,Crown,Movement_Part_Nr,Movement_Brand,Swiss_Movement,Mechanism,Battery,Battery_URL,Battery_Life,Hackable,Skeletonized,Strap_Width,Strap_Material,Lug_Width,Band_Width_At_Clasp,Band_Color,Clasp_Type,Clasp_Color,Color_Stitching,Length_Band_At_12_Clock,Length_Band_At_6_Clock,Band_Sizing_By_HWG,Mount_Type,Straight_Strap_Mount,Suitable_For_Wrist_Size,Original_Strap,Image_Link,URL,Price_Range
Daniel Wellington Classic DW00100833 Classic Date Sterling Watch,Steel Gents Watch with Day-Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068689,Daniel Wellington,Classic Date Sterling,2025 Spring / Summer,,No,3 Bar (Wash hands),Blue,"Silver, Silver, Silver",DW00100833,40 mm,8 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Stainless steel,20 mm,20 mm,Silver,Milanese clasp,Silver,,,,No,Pushpins,Yes,160 mm - 210 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100833-classic-sterling-18432200.jpg,https://www.mastersintime.com/daniel-wellington-classic-date-sterling-steel-gents-watch-with-day-date-dw00100833.htm,$258.-
Daniel Wellington Quadro DW00100622 Quadro Link Watch,Gold ladies minimalist watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 20 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030044058,Daniel Wellington,Quadro Link,2023 Spring / Summer,,No,3 Bar (Wash hands),White,"Gold, Gold",DW00100622,20 mm,6 mm,Stainless steel,Rectangular,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,10 mm,Stainless steel,10 mm,10 mm,Gold,Butterfly clasp with push buttons,Gold,,,,Yes,Pushpins,Yes,140 mm - 200 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100622-quadro-link-18420920.jpg,https://www.mastersintime.com/daniel-wellington-quadro-link-gold-ladies-minimalist-watch-dw00100622.htm,$258.-
Daniel Wellington Jolie DW00100834 Watch,Silver ladies cocktail watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068696,Daniel Wellington,Jolie,2025 Spring / Summer,,No,3 Bar (Wash hands),White,"Silver, Silver",DW00100834,15 mm,6 mm,Stainless steel,Rectangular,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,9 mm,Stainless steel,,9 mm,Silver,Jewelry clasp,Silver,,,,No,None,No,160 mm - 185 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100834-jolie-18432308.jpg,https://www.mastersintime.com/daniel-wellington-jolie-silver-ladies-cocktail-watch-dw00100834.htm,$246.-
Daniel Wellington Classic DW00100614 Petite Link Lumine Watch,Gold ladies minimalist watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 28 mm and is fitted with a stainless steel band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030043976,Daniel Wellington,Petite Link Lumine,2023 Spring / Summer,Analog,No,3 Bar (Wash hands),White,"Gold, Gold",DW00100614,28 mm,6 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,GL15 ( See specifications ) Download manual (English),Miyota,,quartz,Renata R364 364 / SR621SW Battery,,60 months,Yes,,12 mm,Stainless steel,12 mm,12 mm,Gold,Butterfly clasp with push buttons,Gold,,,,Yes,Pushpins,Yes,150 mm - 200 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100614-petite-link-18420812.jpg,https://www.mastersintime.com/daniel-wellington-petite-link-lumine-gold-ladies-minimalist-watch-dw00100614.htm,$211.-
Daniel Wellington Classic DW00100870 Classic Sheffield Watch,Minimalist stainless steel quartz watch with small second,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078046,Daniel Wellington,Classic Sheffield,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100870,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Black,Buckle,Rose gold,Black,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100870-classic-sheffield-18495302.jpg,https://www.mastersintime.com/daniel-wellington-classic-sheffield-minimalist-stainless-steel-quartz-watch-with-small-second-dw00100870.htm,$234.-
Daniel Wellington Iconic DW00100875 Iconic Chrono St. Mawes Watch,Elegant stainless steel quartz chronograph,This Daniel Wellington watch has a case made of stainless steel with a diameter of 42 mm and is fitted with a leather band. The watch is 5 ATM. This means the watch is suitable for showering. The watch comes with 2 Year Warranty. .,,Daniel Wellington,Iconic Chrono St. Mawes,2025 Fall / Winter,,No,5 Bar (Shower),Blue,"Gold, Gold, Gold",DW00100877,42 mm,9 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,21 mm,Leather,,,Black,Buckle,Gold,Black,,,No,Quick release pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100875-iconic-chrono-st-mawes-18495770.jpg,https://www.mastersintime.com/daniel-wellington-iconic-chrono-st-mawes-elegant-stainless-steel-quartz-chronograph-dw00100875.htm,$305.-
Daniel Wellington Classic DW00100855 Petite Mini Evergold Watch,Elegant extra small stainless steel quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 19 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,,Daniel Wellington,Petite Mini Evergold,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Gold, Gold",DW00100855,19 mm,6 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Gold,Invisible butterfly clasp,Gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100855-petite-mini-evergold-18494816.jpg,https://www.mastersintime.com/daniel-wellington-petite-mini-evergold-elegant-extra-small-stainless-steel-quartz-watch-dw00100855.htm,$222.-
Daniel Wellington Classic DW00100871 Classic St. Mawes Watch,Minimalist stainless steel quartz watch with small second,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078053,Daniel Wellington,Classic St. Mawes,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100871,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Brown,Buckle,Rose gold,Brown,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100871-classic-st-mawes-18495404.jpg,https://www.mastersintime.com/daniel-wellington-classic-st-mawes-minimalist-stainless-steel-quartz-watch-with-small-second-dw00100871.htm,$234.-
Daniel Wellington Quadro DW00100851 Quadro Mini Evergold Watch,Elegant extra small rectangular quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077858,Daniel Wellington,Quadro Mini Evergold,2025 Fall / Winter,,No,3 Bar (Wash hands),Black,"Gold, Gold",DW00100851,15 mm,6 mm,Stainless steel,Rectangular,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Gold,Invisible butterfly clasp,Gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100851-quadro-mini-evergold-18494390.jpg,https://www.mastersintime.com/daniel-wellington-quadro-mini-evergold-elegant-extra-small-rectangular-quartz-watch-dw00100851.htm,$234.-
Daniel Wellington Quadro DW00100847 Quadro Mini Melrose Watch,Elegant extra small rectangular quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077810,Daniel Wellington,Quadro Mini Melrose,2025 Fall / Winter,,No,3 Bar (Wash hands),Silver,"Rose gold, Rose gold",DW00100847,15 mm,6 mm,Stainless steel,Rectangular,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Rose gold,Invisible butterfly clasp,Rose gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100847-quadro-mini-melrose-18493904.jpg,https://www.mastersintime.com/daniel-wellington-quadro-mini-melrose-elegant-extra-small-rectangular-quartz-watch-dw00100847.htm,$234.-
Daniel Wellington Classic DW00100869 Classic St. Mawes Watch,Minimalist stainless steel quartz watch with small second,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078039,Daniel Wellington,Classic St. Mawes,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Gold, Gold",DW00100869,40 mm,6 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Brown,Buckle,Gold,Brown,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100869-classic-st-mawes-18495206.jpg,https://www.mastersintime.com/daniel-wellington-classic-st-mawes-minimalist-stainless-steel-quartz-watch-with-small-second-dw00100869.htm,$234.-
Daniel Wellington Iconic DW00100881 Margot Watch,Elegant quartz watch with rounded rectangular case,This Daniel Wellington watch has a case made of stainless steel with a diameter of 24 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078152,Daniel Wellington,Margot,2025 Fall / Winter,,No,3 Bar (Wash hands),Black,"Rose gold, Rose gold",DW00100881,24 mm,8 mm,Stainless steel,Cushion,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Leather,,,Black,Buckle,Rose gold,Black,,,No,Pushpins,Yes,,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100881-margot-18496286.jpg,https://www.mastersintime.com/daniel-wellington-margot-elegant-quartz-watch-with-rounded-rectangular-case-dw00100881.htm,$171.-
Daniel Wellington Iconic DW00100873 Iconic Chrono Link Watch,Elegant stainless steel quartz chronograph,This Daniel Wellington watch has a case made of stainless steel with a diameter of 42 mm and is fitted with a stainless steel band. The watch is 5 ATM. This means the watch is suitable for showering. The watch comes with 2 Year Warranty. .,7315030078077,Daniel Wellington,Iconic Chrono Link,2025 Fall / Winter,,No,5 Bar (Shower),Black,"Silver, Silver, Silver",DW00100873,42 mm,9 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,21 mm,Stainless steel,,,Silver,Deployment clasp with push buttons,Silver,,,,Yes,Quick release pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100873-iconic-chrono-link-18495578.jpg,https://www.mastersintime.com/daniel-wellington-iconic-chrono-link-elegant-stainless-steel-quartz-chronograph-dw00100873.htm,$328.-
Daniel Wellington Classic DW00100867 Classic St. Mawes Watch,Minimalist stainless steel quartz watch with small second,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078015,Daniel Wellington,Classic St. Mawes,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Silver, Silver",DW00100867,40 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Brown,Buckle,Silver,Brown,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100867-classic-st-mawes-18495014.jpg,https://www.mastersintime.com/daniel-wellington-classic-st-mawes-minimalist-stainless-steel-quartz-watch-with-small-second-dw00100867.htm,$234.-
Daniel Wellington Quadro DW00100845 Quadro Mini Reflection Sterling Watch,Elegant extra small rectangular quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077797,Daniel Wellington,Quadro Mini Reflection Sterling,2025 Fall / Winter,,No,3 Bar (Wash hands),Black,"Silver, Silver",DW00100845,15 mm,6 mm,Stainless steel,Rectangular,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Silver,Invisible butterfly clasp,Silver,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100845-quadro-mini-reflection-sterling-18493670.jpg,https://www.mastersintime.com/daniel-wellington-quadro-mini-reflection-sterling-elegant-extra-small-rectangular-quartz-watch-dw00100845.htm,$234.-
Daniel Wellington Quadro DW00100848 Quadro Mini Melrose Watch,Elegant extra small rectangular quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077827,Daniel Wellington,Quadro Mini Melrose,2025 Fall / Winter,,No,3 Bar (Wash hands),Black,"Rose gold, Rose gold",DW00100848,15 mm,6 mm,Stainless steel,Rectangular,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Rose gold,Invisible butterfly clasp,Rose gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100848-quadro-mini-melrose-18494030.jpg,https://www.mastersintime.com/daniel-wellington-quadro-mini-melrose-elegant-extra-small-rectangular-quartz-watch-dw00100848.htm,$234.-
Daniel Wellington Classic DW00100854 Petite Mini Melrose Watch,Elegant extra small stainless steel quartz watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 19 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030077889,Daniel Wellington,Petite Mini Melrose,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100854,19 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,6 mm,Stainless steel,6 mm,6 mm,Rose gold,Invisible butterfly clasp,Rose gold,,,,Yes,Pushpins,Yes,140 mm - 190 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100854-petite-mini-melrose-18494720.jpg,https://www.mastersintime.com/daniel-wellington-petite-mini-melrose-elegant-extra-small-stainless-steel-quartz-watch-dw00100854.htm,$222.-
Daniel Wellington Jolie DW00100835 Watch,Rose gold ladies cocktail watch,This Daniel Wellington watch has a case made of stainless steel with a diameter of 15 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068702,Daniel Wellington,Jolie,2025 Spring / Summer,,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100835,15 mm,6 mm,Stainless steel,Rectangular,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,9 mm,Stainless steel,,9 mm,Rose gold,Jewelry clasp,Rose gold,,,,No,None,No,160 mm - 185 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100835-jolie-18432404.jpg,https://www.mastersintime.com/daniel-wellington-jolie-rose-gold-ladies-cocktail-watch-dw00100835.htm,$246.-
Daniel Wellington Classic DW00100829 Classic Date St Mawes Watch,Gents Quartz Watch with Day-Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068641,Daniel Wellington,Classic Date St Mawes,2025 Spring / Summer,,No,3 Bar (Wash hands),Beige,"Rose gold, Rose gold, Rose gold",DW00100829,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Brown,Buckle,Rose gold,Brown,,,No,Pushpins,Yes,160 mm - 220 mm,Strap Daniel Wellington DW00200006,https://www.mastersintime.com/pictures/daniel-wellington-dw00100829-classic-st-mawes-18431822.jpg,https://www.mastersintime.com/daniel-wellington-classic-date-st-mawes-gents-quartz-watch-with-day-date-dw00100829.htm,$246.-
Daniel Wellington Classic DW00100830 Classic Date St Mawes Watch,Gents Quartz Watch with Day-Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068658,Daniel Wellington,Classic Date St Mawes,2025 Spring / Summer,,No,3 Bar (Wash hands),Blue,"Rose gold, Rose gold, Rose gold",DW00100830,40 mm,6 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Leather,,,Brown,Buckle,Rose gold,Brown,,,No,Pushpins,Yes,160 mm - 220 mm,Strap Daniel Wellington DW00200006,https://www.mastersintime.com/pictures/daniel-wellington-dw00100830-classic-st-mawes-18431918.jpg,https://www.mastersintime.com/daniel-wellington-classic-date-st-mawes-gents-quartz-watch-with-day-date-dw00100830.htm,$246.-
Daniel Wellington Classic DW00100831 Classic Date Onyx Watch,Gents Quartz Watch with Day-Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068665,Daniel Wellington,Classic Date Onyx,2025 Spring / Summer,,No,3 Bar (Wash hands),Black,"Silver, Silver, Silver",DW00100831,40 mm,6 mm,Stainless steel,Round,Black,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Stainless steel,,,Black,Milanese clasp,Black,,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100831-classic-onyx-18432014.jpg,https://www.mastersintime.com/daniel-wellington-classic-date-onyx-gents-quartz-watch-with-day-date-dw00100831.htm,$258.-
Daniel Wellington Classic DW00100828 Classic Date Sterling Watch,Steel Gents Watch with Day-Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068634,Daniel Wellington,Classic Date Sterling,2025 Spring / Summer,,No,3 Bar (Wash hands),Beige,"Silver, Silver, Silver",DW00100828,40 mm,6 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,20 mm,Stainless steel,,,Silver,Milanese clasp,Silver,,,,No,Pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100828-classic-sterling-18431732.jpg,https://www.mastersintime.com/daniel-wellington-classic-date-sterling-steel-gents-watch-with-day-date-dw00100828.htm,$258.-
Daniel Wellington Classic DW00100883 Juliette Melrose Watch,Elegant quartz watch with oval case and milanese bracelet,This Daniel Wellington watch has a case made of stainless steel with a diameter of 23 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030078176,Daniel Wellington,Juliette Melrose,2025 Fall / Winter,,No,3 Bar (Wash hands),White,"Rose gold, Rose gold",DW00100883,23 mm,6 mm,Stainless steel,Oval,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,10 mm,Stainless steel,3 mm,10 mm,Rose gold,Milanese clasp,Rose gold,,,,No,Saddle screw,No,140 mm - 195 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100883-juliette-melrose-18496526.jpg,https://www.mastersintime.com/daniel-wellington-juliette-melrose-elegant-quartz-watch-with-oval-case-and-milanese-bracelet-dw00100883.htm,$199.-
Daniel Wellington Crystalline DW00100827 Watch,Ladies Quartz Watch with Crystals,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068627,Daniel Wellington,Crystalline,2025 Spring / Summer,,No,3 Bar (Wash hands),Mother of pearl,"Rose gold, Rose gold",DW00100827,32 mm,7 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Leather,,,Black,Buckle,Rose gold,Black,,,No,Pushpins,Yes,135 mm - 185 mm,Strap Daniel Wellington DW00200143,https://www.mastersintime.com/pictures/daniel-wellington-dw00100827-crystalline-18431627.jpg,https://www.mastersintime.com/daniel-wellington-crystalline-ladies-quartz-watch-with-crystals-dw00100827.htm,$305.-
Daniel Wellington Crystalline DW00100826 Watch,Ladies Quartz Watch with Crystals,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a leather band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068610,Daniel Wellington,Crystalline,2025 Spring / Summer,,No,3 Bar (Wash hands),Mother of pearl,"Rose gold, Rose gold",DW00100826,32 mm,7 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Leather,,,Green,Buckle,Rose gold,Green,,,No,Pushpins,Yes,135 mm - 185 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100826-crystalline-18431576.jpg,https://www.mastersintime.com/daniel-wellington-crystalline-ladies-quartz-watch-with-crystals-dw00100826.htm,$305.-
Daniel Wellington Crystalline DW00100824 Crystalline Evergold Watch,Gold ladies watch with crystals,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068597,Daniel Wellington,Crystalline Evergold,2025 Spring / Summer,,No,3 Bar (Wash hands),Mother of pearl,"Gold, Gold",DW00100824,32 mm,7 mm,Stainless steel,Round,Gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Stainless steel,,,Gold,Milanese clasp,Gold,,,,No,Pushpins,Yes,150 mm - 205 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100824-crystalline-evergold-18431384.jpg,https://www.mastersintime.com/daniel-wellington-crystalline-evergold-gold-ladies-watch-with-crystals-dw00100824.htm,$316.-
Daniel Wellington Crystalline DW00100825 Crystalline Sterling Watch,Silver ladies watch with crystals,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068603,Daniel Wellington,Crystalline Sterling,2025 Spring / Summer,,No,3 Bar (Wash hands),Blue,"Silver, Silver",DW00100825,32 mm,7 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Stainless steel,,,Silver,Milanese clasp,Silver,,,,No,Pushpins,Yes,150 mm - 205 mm,Strap Daniel Wellington DW00200140,https://www.mastersintime.com/pictures/daniel-wellington-dw00100825-crystalline-sterling-18431480.jpg,https://www.mastersintime.com/daniel-wellington-crystalline-sterling-silver-ladies-watch-with-crystals-dw00100825.htm,$316.-
Festina Classics F20357/1 Watch,Steel Quartz Watch with Day-Date,This Festina watch has a case made of stainless steel with a diameter of 41 mm and is fitted with a stainless steel band. Inside the case lies a Miyota movement and the watch features a Mineral crystal. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,8430622718366,Festina,F20357,2018 Spring / Summer,Analog,No,10 Bar (Swim),Silver,"Blue, Blue, Blue",F20357,41 mm,11 mm,Stainless steel,Round,Silver,Stainless steel,Screwed case back,Mineral,Pull crown,1S02 ( See specifications ) Download manual (English),Miyota,No,quartz,Renata R364 364 / SR621SW Battery,,24 months,Yes,No,21 mm,Stainless steel,21 mm,18 mm,Silver,Deployment Clasp,Silver,,,,Yes,Pushpins,Yes,160 mm - 210 mm,Strap Festina BA04142,https://www.mastersintime.com/pictures/festina-f20357-f20357-1-10915767.jpg,https://www.mastersintime.com/festina-f20357-steel-quartz-watch-with-day-date-f20357-1.htm,$116.-
Daniel Wellington Iconic DW00100822 Iconic Paradigma Watch,Steel Gents Watch with Date,This Daniel Wellington watch has a case made of stainless steel with a diameter of 40 mm and is fitted with a stainless steel band. The watch is 10 ATM. This means the watch is suitable for swimming. The watch comes with 2 Year Warranty. .,7315030068573,Daniel Wellington,Iconic Paradigma,2025 Spring / Summer,,No,10 Bar (Swim),Black,"Silver, Silver, Silver",DW00100822,40 mm,10 mm,Stainless steel,Round,Silver,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,21 mm,Stainless steel,,,Silver,Butterfly clasp with push buttons,Silver,,,,Yes,Quick release pushpins,Yes,160 mm - 220 mm,,https://www.mastersintime.com/pictures/daniel-wellington-dw00100822-iconic-paradigma-18431156.jpg,https://www.mastersintime.com/daniel-wellington-iconic-paradigma-steel-gents-watch-with-date-dw00100822.htm,$305.-
Daniel Wellington Crystalline DW00100823 Crystalline Melrose Watch,Rose Gold Ladies Watch with Crystals,This Daniel Wellington watch has a case made of stainless steel with a diameter of 32 mm and is fitted with a stainless steel band. The watch is 3 ATM. This means the watch is splash waterproof. The watch comes with 2 Year Warranty. .,7315030068580,Daniel Wellington,Crystalline Melrose,2025 Spring / Summer,,No,3 Bar (Wash hands),Mother of pearl,"Rose gold, Rose gold",DW00100823,32 mm,7 mm,Stainless steel,Round,Rose gold,Stainless steel,Snap on,Mineral,Pull crown,,,,,,,,,,14 mm,Stainless steel,,,Rose gold,Milanese clasp,Rose gold,,,,No,Pushpins,Yes,150 mm - 205 mm,Strap Daniel Wellington DW00200139,https://www.mastersintime.com/pictures/daniel-wellington-dw00100823-crystalline-melrose-18431246.jpg,https://www.mastersintime.com/daniel-wellington-crystalline-melrose-rose-gold-ladies-watch-with-crystals-dw00100823.htm,$316.-
